time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-03-24 01:24:29.639 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,100893818880,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1553390669182, , , , ,3145728,1218, , , ,1,4,1,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,34637248,2, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:24:29.668 UTC, ,125,3164021,1184,18168, , ,4, ,6, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,100893818880,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1553390669182, , , , ,3145728,1408, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,38675912,2, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1, , , , , , , , 
2019-03-24 01:25:42.577 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2316,2, ,1489, , , , ,2361,100891656192,42,42, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , ,2361, ,1553390742189, , , , ,3145728,2316, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,34969368,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:25:42.602 UTC, ,125,3163205,1184,17352, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,2316,2, ,1489, , , , ,2361,100891656192,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2361, ,1553390742189, , , , ,3145728,2430, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42437064,2, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:26:22.472 UTC, ,125,3160261,1184,14408, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,3022,3, ,2511, , , , ,3067,100889485312,35,35, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , ,3067, ,1553390782085, , , , ,3145728,3022, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,103013,31, , , , , , , , , , ,37094144,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:26:53.359 UTC, ,125,3160261,1184,14408, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,3022,3, ,2511, , , , ,3067,100888244224,35,35, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , ,3067, ,1553390812963, , , , ,3145728,3022, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,103013,31, , , , , , , , , , ,37055216,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:26:53.382 UTC, ,125,3163229,1184,17376, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,3022,3, ,2511, , , , ,3067,100888244224,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3067, ,1553390812963, , , , ,3145728,3136, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42433408,1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1, , , , , , 
2019-03-24 01:30:38.791 UTC, ,125,3160285,1184,14432, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,26,12, , , , , , , , , , , , , ,3861,4, ,3217, , , , ,3906,100895617024,30,30, , , , , ,1,59, , , , , , , , , , , , , , , , , , , , , , , , , ,3906, ,1553391038386, , , , ,3145728,3861, , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,103106,32, , , , , , , , , , ,34977408,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:30:38.813 UTC, ,125,3163253,1184,17400, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,3861,4, ,3217, , , , ,3906,100895617024,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3906, ,1553391038386, , , , ,3145728,3975, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42444648,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , 
2019-03-24 01:30:56.460 UTC, ,125,3160309,1184,14456, , ,3,2,24,3,0.13, , , , , , , ,3,3, ,2,2,2,1,5, ,28,13, , , , , , , , , , , , , ,4560,5, ,4056, , , , ,4605,100892995584,28,28, , , , , ,1,68, , , , , , , , , , , , , , , , , , , , , , , , , ,4605, ,1553391056064, , , , ,3145728,4560, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,105229,34, , , , , , , , , , ,34977384,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
