time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-03-10 07:11:21.781 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,120979419136,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1552201881724, , , , ,3145728,1218, , , ,3,4,8,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,39900360,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:11:21.797 UTC, ,125,3164021,1184,18168, , ,4, ,6, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,120979419136,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1552201881724, , , , ,3145728,1408, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,39900360,-1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1, , , , , , , , 
2019-03-10 07:12:59.612 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552201979582, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,40017264,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:15:50.426 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552202150399, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,40045224,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:16:04.944 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552202164916, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,39914000,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:17:58.715 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552202278689, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,39913944,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:21:40.583 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552202500553, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,39912448,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:30:40.083 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552203040059, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,39914104,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:31:29.512 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552203089489, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,39912808,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-10 07:32:19.177 UTC, ,125,3160237,1184,14384, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,2317,2, ,1489, , , , , , ,-1,-1, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1552203139152, , , , ,3145728,2317, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,102935,30, , , , , , , , , , ,39912952,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
